Tabel 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Digitale vaardigheden, 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Digitale vaardigheden Totaal;Totaal;;;;Totaal;;;;Totaal;;;;Totaal;;;;;;;;;;;;;;;
TOTAAL;Meer dan basisvaardigheden;;;;Basisvaardigheden;;;;Geringe/geen digitale vaardigheden;;;;Kan niet vastgeteld worden;;;;;;;;;;;;;;;
;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;;;;;;;;;;;;
Flevoland;82,9;75,8;90,0;;10,7;5,0;16,4;;4,9;0,4;9,4;;.;.;.;;;;;;;;;;;;;
Gelderland;87,0;84,6;89,4;;7,4;5,5;9,2;;2,6;1,4;3,8;;3,0;1,8;4,3;;;;;;;;;;;;;
Utrecht;90,8;88,2;93,4;;5,5;3,5;7,5;;1,7;0,6;2,9;;2,0;0,8;3,3;;;;;;;;;;;;;
Noord-Holland;92,2;90,4;94,0;;3,8;2,5;5,1;;2,2;1,2;3,2;;1,8;1,0;2,6;;;;;;;;;;;;;
Zuid-Holland;87,8;85,9;89,7;;7,3;5,8;8,8;;2,0;1,1;2,8;;2,9;1,9;4,0;;;;;;;;;;;;;
Zeeland;85,9;80,1;91,7;;9,5;4,8;14,2;;.;.;.;;3,1;0,1;6,2;;;;;;;;;;;;;
Noord-Brabant;87,4;85,2;89,6;;6,9;5,2;8,6;;2,3;1,3;3,4;;3,4;2,2;4,6;;;;;;;;;;;;;
Limburg;85,3;81,8;88,8;;6,7;4,3;9,2;;4,0;1,9;6,0;;4,0;2,1;6,0;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deelindicator 3;Computers en online diensten;;;;Computers en online diensten;;;;Computers en online diensten;;;;Computers en online diensten;;;;;;;;;;;;;;;
COMPUTERS EN ONLINE DIENSTEN;Meer dan basisvaardigheden;;;;Basisvaardigheden;;;;Geringe/Geen digitale vaardigheden;;;;Kan niet vastgeteld worden;;;;;;;;;;;;;;;
;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;;;;;;;;;;;;
Nederland totaal;82,3;81,4;83,3;;13,1;12,2;13,9;;1,6;1,3;1,9;;3,0;2,5;3,4;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groningen;78,2;72,4;84,1;;16,6;11,3;21,9;;1,8;0,0;3,7;;3,3;0,8;5,8;;;;;;;;;;;;;
Friesland;80,0;74,9;85,2;;10,8;7,0;14,7;;2,2;0,2;4,1;;7,0;3,6;10,4;;;;;;;;;;;;;
Drenthe;81,4;75,7;87,0;;12,2;7,4;17,0;;.;.;.;;4,4;1,6;7,3;;;;;;;;;;;;;
Overijssel;80,2;76,3;84,1;;15,1;11,6;18,5;;1,9;0,6;3,2;;2,8;1,0;4,6;;;;;;;;;;;;;
Flevoland;88,2;82,2;94,2;;7,9;2,8;13,0;;.;.;.;;.;.;.;;;;;;;;;;;;;
Gelderland;79,3;76,3;82,2;;16,0;13,3;18,6;;1,7;0,7;2,7;;3,0;1,8;4,3;;;;;;;;;;;;;
Utrecht;86,5;83,4;89,6;;10,7;7,8;13,5;;0,8;0,1;1,6;;2,0;0,8;3,3;;;;;;;;;;;;;
Noord-Holland;86,2;83,9;88,4;;10,7;8,7;12,8;;1,3;0,6;2,1;;1,8;1,0;2,6;;;;;;;;;;;;;
Zuid-Holland;83,8;81,7;86,0;;11,9;10,0;13,8;;1,3;0,7;2,0;;2,9;1,9;4,0;;;;;;;;;;;;;
Zeeland;74,3;66,8;81,8;;22,3;15,1;29,4;;.;.;.;;3,1;0,1;6,2;;;;;;;;;;;;;
Noord-Brabant;81,7;79,2;84,2;;13,1;10,9;15,3;;1,8;1,0;2,7;;3,4;2,2;4,6;;;;;;;;;;;;;
Limburg;76,4;72,3;80,5;;17,3;13,6;20,9;;2,3;0,9;3,7;;4,0;2,1;6,0;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deelindicator 4;Privacybescherming;;;;Privacybescherming;;;;Privacybescherming;;;;Privacybescherming;;;;;;;;;;;;;;;
PRIVACYBESCHERMING;Meer dan basisvaardigheden;;;;Basisvaardigheden;;;;Geringe/Geen digitale vaardigheden;;;;Kan niet vastgeteld worden;;;;;;;;;;;;;;;
;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;Waarde %;Ondergrens;Bovengrens;;;;;;;;;;;;;
Nederland totaal;62,4;61,1;63,6;;20,4;19,3;21,4;;14,2;13,3;15,2;;3,0;2,5;3,4;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
